TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Bahrain,1,Sergio Perez,00:23:58.5370000,25,1,0,00:01:39.0380000,False,Red Bull,0,False,True,
Bahrain,1,Lewis Hamilton,00:23:58.9520000,18,2,0,00:01:39.3860000,False,Mercedes-AMG Petronas,0,False,True,
Bahrain,1,Logan Sargeant,00:23:59.0760000,15,3,0,00:01:39.0800000,False,Williams,0,False,True,
Bahrain,1,Kevin Magnussen,00:23:59.3610000,12,4,0,00:01:39.1590000,False,Haas,0,False,True,
Bahrain,1,Max Verstappen,00:23:59.5200000,10,5,0,00:01:39.2100000,False,Red Bull,0,False,True,
Bahrain,1,Naaz82,00:24:01.1970000,8,6,0,00:01:38.0120000,False,Ferrari,0,False,False,
Bahrain,1,George Russell,00:24:01.8860000,6,7,0,00:01:38.8190000,False,Mercedes-AMG Petronas,0,False,True,
Bahrain,1,Lando Norris,00:24:01.9140000,4,8,0,00:01:38.6160000,False,McLaren,0,False,True,
Bahrain,1,Alex Albon,00:24:02.1230000,2,9,0,00:01:39.5740000,False,Williams,0,False,True,
Bahrain,1,Guanyu Zhou,00:24:02.1890000,1,10,0,00:01:39.6380000,False,Alfa Romeo,0,False,True,
Bahrain,1,Pierre Gasly,00:24:02.3500000,0,11,0,00:01:39.3710000,False,Alpine,0,False,True,
Bahrain,1,Oscar Piastri,00:24:02.4810000,0,12,0,00:01:39.6690000,False,McLaren,0,False,True,
Bahrain,1,Nico Hulkenberg,00:24:02.6840000,0,13,0,00:01:38.8490000,False,Haas,0,False,True,
Bahrain,1,Valtteri Bottas,00:24:02.8550000,0,14,0,00:01:38.9660000,False,Alfa Romeo,0,False,True,
Bahrain,1,Daniel Ricciardo,00:24:03.2290000,0,15,0,00:01:39.0790000,False,World Car,0,False,True,
Bahrain,1,Lance Stroll,00:24:03.7360000,0,16,0,00:01:38.9670000,False,Aston Martin,0,False,True,
Bahrain,1,Fernando Alonso,00:24:04.1420000,0,17,0,00:01:38.1900000,False,Aston Martin,0,False,True,
Bahrain,1,Esteban Ocon,00:24:04.4820000,0,18,0,00:01:39.3670000,False,Alpine,0,False,True,
Bahrain,1,jjk,00:24:08.9420000,0,19,0,00:01:37.5280000,True,Ferrari,0,False,False,
Bahrain,1,Yuki Tsunoda,00:12:54.2270000,0,20,0,00:01:40.1070000,False,AlphaTauri,0,False,True,
