class,track,vehicle,file,template_vehicle,template_status,confidence,release,validation_status,update_scope
GT3,Circuit de la Sarthe,Ford Mustang LMGT3,GT3/Circuit de la Sarthe/Ford Mustang LMGT3 - Circuit de la Sarthe - Stable.svm,Ford Mustang LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,McLaren 720S LMGT3 Evo,GT3/Circuit de la Sarthe/McLaren 720S LMGT3 Evo - Circuit de la Sarthe - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,Mercedes-AMG LMGT3,GT3/Circuit de la Sarthe/Mercedes-AMG LMGT3 - Circuit de la Sarthe - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,BMW M4 LMGT3 Evo,GT3/Circuit de la Sarthe/BMW M4 LMGT3 Evo - Circuit de la Sarthe - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,Aston Martin Vantage AMR LMGT3 Evo,GT3/Circuit de la Sarthe/Aston Martin Vantage AMR LMGT3 Evo - Circuit de la Sarthe - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,Corvette Z06 LMGT3.R,GT3/Circuit de la Sarthe/Corvette Z06 LMGT3.R - Circuit de la Sarthe - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,Ferrari 296 LMGT3,GT3/Circuit de la Sarthe/Ferrari 296 LMGT3 - Circuit de la Sarthe - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,Lamborghini Huracán LMGT3 Evo2,GT3/Circuit de la Sarthe/Lamborghini Huracán LMGT3 Evo2 - Circuit de la Sarthe - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,Lexus RC F LMGT3,GT3/Circuit de la Sarthe/Lexus RC F LMGT3 - Circuit de la Sarthe - Stable.svm,Lexus RC F LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Circuit de la Sarthe,Porsche 911 GT3 R LMGT3,GT3/Circuit de la Sarthe/Porsche 911 GT3 R LMGT3 - Circuit de la Sarthe - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
